,MIP_ERA,Activity,Institution_ID,Source_ID,Experiment_ID,Variant_Label,n_realizations,zos_size,Resolution,nominal_resolution,Score,Member
18,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r1i1p1f1,6,"[1442,1021,12]",HR,25 km,3.0,6.0
19,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r2i1p1f1,0,"[1442,1021,12]",HR,25 km,3.0,6.0
20,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r3i1p1f1,0,"[1442,1021,12]",HR,25 km,3.0,6.0
21,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r4i1p1f1,0,"[1442,1021,12]",HR,25 km,3.0,6.0
22,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r5i1p1f1,0,"[1442,1021,12]",HR,25 km,3.0,6.0
23,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-HR,hist-1950,r6i1p1f1,0,"[1442,1021,12]",HR,25 km,3.0,6.0
24,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r1i1p1f1,3,"[1442,1021,12]",MR,25 km,3.0,7.0
25,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r2i1p1f1,0,"[1442,1021,12]",MR,25 km,3.0,7.0
26,CMIP6,HighResMIP,ECMWF,ECMWF-IFS-MR,hist-1950,r3i1p1f1,0,"[1442,1021,12]",MR,25 km,3.0,7.0
30,CMIP6,HighResMIP,NERC,HadGEM3-GC31-HH,hist-1950,r1i1p1f1,1,"[4320,3604,3]",HR,10 km,3.0,9.0
31,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,hist-1950,r1i1p1f1,3,"[1440,1205,12]",HR,50 km,3.0,9.0
32,CMIP6,HighResMIP,NERC,HadGEM3-GC31-HM,hist-1950,r1i2p1f1,0,"[1440,1205,12]",HR,50 km,3.0,9.0
33,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-HM,hist-1950,r1i3p1f1,0,"[1440,1205,12]",HR,50 km,3.0,9.0
34,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i1p1f1,3,"[1440,1205,12]",MR,100 km,3.0,10.0
35,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i2p1f1,0,"[1440,1205,12]",MR,100 km,3.0,10.0
36,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-MM,hist-1950,r1i3p1f1,0,"[1440,1205,12]",MR,100 km,3.0,10.0
37,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r1i1p1f3,4,"[1440,1205,240]",MR,25 km,3.0,10.0
38,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r2i1p1f3,0,"[1440,1205,240]",MR,25 km,3.0,10.0
39,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r3i1p1f3,0,"[1440,1205,240]",MR,25 km,3.0,10.0
40,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,historical,r4i1p1f3,0,"[1440,1205,240]",MR,25 km,3.0,10.0
